Jour; Intitulé Bdc;Formateur
14/03/2022;Jour d'accueil;---
15/03/2022;;
16/03/2022;La communication dans le milieu du gaming;Sophie Schiaratura
17/03/2022;Gaming - Game designer;Hugo Bourbon
18/03/2022;Level Designer;Fabrice Daniel
19/03/2022;;
20/03/2022;;
21/03/2022;Graphiste 2D Gaming;Antoine Petit
22/03/2022;Graphiste 3D Gaming;Maude L'hoir
23/03/2022;Histoire du jeu vidéo et concepts;Alexandre Wyns
24/03/2022;Histoire du jeu vidéo et concepts;
25/03/2022;L'industrie du jeu vidéo;
26/03/2022;;
27/03/2022;;
28/03/2022;Gestion de production Gaming;Fabrice Daniel
29/03/2022;;
30/03/2022;;
31/03/2022;Gestion de production Gaming;Hugo Bourbon
1/04/2022;;
2/04/2022;;
3/04/2022;;
4/04/2022;Suivi Florence;--
5/04/2022;Unity 3D;Ambroise Gram
6/04/2022;;
7/04/2022;;
8/04/2022;;
9/04/2022;;
10/04/2022;;
11/04/2022;Unity 3D;Cherif Younis
12/04/2022;;
13/04/2022;;
14/04/2022;;
15/04/2022;;
16/04/2022;;
17/04/2022;;
18/04/2022;-- Pâques;
19/04/2022;;
20/04/2022;;
21/04/2022;;
22/04/2022;;
23/04/2022;;
24/04/2022;;
25/04/2022;Unity 3D;Cherif Younis
26/04/2022;;
27/04/2022;;
28/04/2022;;
29/04/2022;Self-study;
30/04/2022;;
1/05/2022;;
2/05/2022;Suivi Florence;--
3/05/2022;Unity 3D;Ambroise Gram
4/05/2022;;
5/05/2022;;
6/05/2022;;
7/05/2022;;
8/05/2022;;
9/05/2022;Self-study;
10/05/2022;Gestion de production Gaming;Ambroise Gram
11/05/2022;;
12/05/2022;;
13/05/2022;;
14/05/2022;;
15/05/2022;;
16/05/2022;Unity 3D;Cherif Younis
17/05/2022;;
18/05/2022;;
19/05/2022;;
20/05/2022;Suivi Florence;--
21/05/2022;;
22/05/2022;;
23/05/2022;Unity 3D;Cherif Younis
24/05/2022;;
25/05/2022;;
26/05/2022;-- Ascension;
27/05/2022;-- Pont;
28/05/2022;;
29/05/2022;;
30/05/2022;Cours d'anglais;Alice Abels
31/05/2022;Unity 3D;Ambroise Gram
1/06/2022;;
2/06/2022;;
3/06/2022;;
4/06/2022;;
5/06/2022;;
6/06/2022;-- Pentecôte;
7/06/2022;Cours d'anglais;Alice Abels
8/06/2022;Unity 3D;Ambroise Gram
9/06/2022;;
10/06/2022;;
11/06/2022;;
12/06/2022;;
13/06/2022;Récupération du Doudou;
14/06/2022;Suivi Florence;--
15/06/2022;Unity 3D;Cherif Younis
16/06/2022;;
17/06/2022;;
18/06/2022;;
19/06/2022;;
20/06/2022;Unity 3D;Cherif Younis
21/06/2022;;
22/06/2022;;
23/06/2022;;
24/06/2022;Cours d'anglais;Alice Abels
25/06/2022;;
26/06/2022;;
27/06/2022;Cours d'anglais;Alice Abels
28/06/2022;Gestion de production Gaming;Ambroise Gram
29/06/2022;;
30/06/2022;;
1/07/2022;;
2/07/2022;;
3/07/2022;;
4/07/2022;Cours d'anglais;Alice Abels
5/07/2022;;
6/07/2022;;
7/07/2022;Unity 3D;Cherif Younis
8/07/2022;;
9/07/2022;;
10/07/2022;;
11/07/2022;Unity 3D;Cherif Younis
12/07/2022;;
13/07/2022;;
14/07/2022;;
15/07/2022;;
16/07/2022;;
17/07/2022;;
18/07/2022;Unity 3D;Cherif Younis
19/07/2022;;
20/07/2022;;
21/07/2022;-- Fête nationale;
22/07/2022;-- Pont;
23/07/2022;;
24/07/2022;;
25/07/2022;Gestion de production Gaming;Sylvain Nyssens
26/07/2022;;
27/07/2022;;
28/07/2022;;
29/07/2022;;
30/07/2022;;
31/07/2022;;
1/08/2022;----- Congés;----- Congés
2/08/2022;;
3/08/2022;;
4/08/2022;;
5/08/2022;;
6/08/2022;;
7/08/2022;;
8/08/2022;----- Congés;----- Congés
9/08/2022;;
10/08/2022;;
11/08/2022;;
12/08/2022;;
13/08/2022;;
14/08/2022;;
15/08/2022;-- Ascension;
16/08/2022;Kick-off;Cherif Younis
17/08/2022;;
18/08/2022;Gestion de production Gaming;
19/08/2022;Self-study;
20/08/2022;;
21/08/2022;;
22/08/2022;Self-study;
23/08/2022;Suivi Florence;--
24/08/2022;Gestion de production Gaming;Théo Constant
25/08/2022;Self-study;
26/08/2022;Gestion de production Gaming;Sylvain Nyssens
27/08/2022;;
28/08/2022;;
29/08/2022;Self-study;
30/08/2022;Gestion de production Gaming;Cherif Younis
31/08/2022;;Cherif Younis
1/09/2022;Self-study;
2/09/2022;Gestion de production Gaming;Hugo Bourbon
3/09/2022;;
4/09/2022;;
5/09/2022;Self-study;
6/09/2022;Self-study;
7/09/2022;Gestion de production Gaming;Théo Constant
8/09/2022;Self-study;
9/09/2022;Gestion de production Gaming;Théo Constant
10/09/2022;;
11/09/2022;;
12/09/2022;Self-study;
13/09/2022;Suivi Florence;--
14/09/2022;Gestion de production Gaming;Théo Constant
15/09/2022;Self-study;
16/09/2022;Gestion de production Gaming;Sylvain Nyssens
17/09/2022;;
18/09/2022;;
19/09/2022;Self-study;
20/09/2022;Self-study;
21/09/2022;Gestion de production Gaming;Théo Constant
22/09/2022;Self-study;
23/09/2022;Gestion de production Gaming;Théo Constant
24/09/2022;;
25/09/2022;;
26/09/2022;Self-study;
27/09/2022;Self-study;
28/09/2022;Gestion de production Gaming;Théo Constant
29/09/2022;Self-study;
30/09/2022;Gestion de production Gaming;Hugo Bourbon
1/10/2022;;
2/10/2022;;
3/10/2022;Self-study;
4/10/2022;Gestion de production Gaming;Cherif Younis
5/10/2022;;Cherif Younis
6/10/2022;Self-study;
7/10/2022;Gestion de production Gaming;Sylvain Nyssens
8/10/2022;;
9/10/2022;;
10/10/2022;Pitch - Anglais;Alice Abels
11/10/2022;Gestion de production Gaming;Alexandre Wyns
12/10/2022;Pitch - Anglais;Alice Abels
13/10/2022;;
14/10/2022;Gestion de production Gaming;Sylvain Nyssens
15/10/2022;;
16/10/2022;;
17/10/2022;Self-study;
18/10/2022;Self-study;
19/10/2022;Présentation ;
